-0.07050	-0.13072
0.01053	-0.06290
0.08901	0.02319
0.14921	0.11481
0.17457	0.19442
0.16546	0.24215
0.14047	0.24881
0.12011	0.22399
0.09861	0.18788
0.06528	0.14823
0.03538	0.10201
0.02763	0.05656
0.04808	0.02795
0.08750	0.02823
0.13216	0.05725
0.17543	0.10453
0.20576	0.15891
0.21537	0.20630
0.20956	0.23385
0.20240	0.23944
0.19871	0.23379
0.18339	0.22506
0.15774	0.20801
0.13735	0.18055
0.13343	0.15136
0.14499	0.13248
0.16223	0.13066
0.17038	0.14311
0.15318	0.15697
0.11790	0.15458
0.08324	0.13157
0.06487	0.09860
0.06487	0.07152
0.06946	0.05960
0.06720	0.05897
0.04617	0.06017
0.00399	0.05024
-0.04641	0.02089
-0.08644	-0.02416
-0.11583	-0.07066
-0.15254	-0.11005
-0.18911	-0.14884
-0.20704	-0.18701
-0.19761	-0.21273
-0.16754	-0.21460
-0.12946	-0.19100
-0.09275	-0.14959
-0.06869	-0.10126
-0.05903	-0.05935
-0.05275	-0.03227
-0.03310	-0.01697
0.00554	-0.00020
0.04807	0.02968
0.08706	0.06920
0.11746	0.11107
0.13864	0.14777
0.15557	0.17479
0.17442	0.19333
0.19535	0.20865
0.21889	0.22436
0.24412	0.24305
0.26725	0.26460
0.28400	0.28649
0.29217	0.30441
0.29347	0.31451
0.28658	0.31589
0.27375	0.30765
0.26094	0.29105
0.25096	0.27167
0.24219	0.25435
0.23293	0.24002
0.22209	0.22765
0.20839	0.21575
0.19619	0.20261
0.19183	0.19004
0.19926	0.18266
0.21561	0.18514
0.23267	0.19806
0.24564	0.21665
0.24790	0.23527
0.23640	0.24695
0.21404	0.24605
0.18598	0.23135
0.15181	0.20562
0.11111	0.17079
0.06938	0.12815
0.03196	0.08177
0.00055	0.03733
-0.02653	-0.00123
-0.05034	-0.03301
-0.06831	-0.05872
-0.08129	-0.07743
-0.09165	-0.08968
-0.09935	-0.09715
-0.10183	-0.10102
-0.09783	-0.10065
-0.09187	-0.09488
-0.08425	-0.08593
-0.07050	-0.07498
-0.04888	-0.06014
-0.02269	-0.03877
0.00332	-0.01161
0.02750	0.01796
0.04379	0.04682
0.04654	0.06943
0.03658	0.07934
0.02127	0.07382
0.00924	0.05693
-0.00050	0.03710
-0.01557	0.01865
-0.02794	-0.00126
-0.02758	-0.01915
-0.01443	-0.02727
0.00169	-0.02134
0.01261	-0.00590
0.01656	0.01067
0.00396	0.02223
-0.03206	0.01960
-0.08692	-0.00571
-0.14768	-0.05442
-0.20792	-0.11804
-0.27291	-0.18724
-0.33767	-0.26025
-0.39362	-0.33347
-0.43534	-0.39997
-0.46313	-0.45275
-0.48223	-0.48827
-0.50011	-0.50911
-0.52543	-0.52180
-0.56307	-0.53584
-0.61125	-0.55942
-0.66222	-0.59577
-0.70623	-0.64145
-0.73916	-0.68788
-0.76203	-0.72757
-0.76792	-0.75678
-0.75072	-0.76963
-0.71208	-0.75866
-0.66018	-0.72109
-0.60050	-0.66241
-0.53333	-0.59039
-0.46668	-0.50971
-0.40890	-0.42491
-0.36116	-0.34608
-0.31828	-0.28109
-0.27743	-0.22924
-0.23963	-0.18632
-0.20035	-0.15076
-0.15655	-0.11670
-0.10685	-0.07799
-0.05140	-0.02712
0.00775	0.03457
0.06135	0.09964
0.10160	0.15568
0.13954	0.19217
0.18760	0.22171
0.24836	0.25761
0.31530	0.30718
0.37937	0.36729
0.42279	0.43099
0.44840	0.48087
0.47335	0.51160
0.51245	0.53242
0.56752	0.55877
0.62356	0.60007
0.66031	0.65114
0.66609	0.69467
0.64298	0.70810
